Model,MSE,RMSE,SSIM,SNR,PSNR,MAD,Cosine Sim.,Params (M),Inference time,Testing time
ae,0.0033682165785881898(0.012362737966869753),0.03966697641654031(0.04236446101819197),0.8380834118684625(0.11581995000908606),1.6702934503555298(0.5875922441482544),30.807981491088867(6.616359233856201),0.2647520436280657(0.23019191390840668),0.5807422321744081(0.08347086961005809),9.45 M,0.00016824646693904224(2.80703998072303e-05),0.13796210289001465
kae,0.004282422644122029(0.013476767527158947),0.04731906461813373(0.045203193915114126),0.26648166339061213(0.20316293583882458),-0.19457371532917023(0.5235798358917236),28.943117141723633(6.267934322357178),0.30972861269852375(0.24323333199508765),0.04785470198612751(0.0679077146207707),4.76 M,0.00029304957971340275(2.14630990919325e-05),0.24030065536499023
cae,0.00025953528212007435(0.0022719379261477626),0.007529223898550632(0.014242403725199583),0.9985072897214248(0.0028887872312422683),15.933055877685547(4.1639299392700195),45.07074737548828(4.939260482788086),0.08024818772427374(0.12782324669675568),0.9786025043667816(0.040129839886478814),1.38 M,0.0002758598909145448(2.1399328326242987e-05),0.22620511054992676
kcae,0.0002214578033045854(0.0006064683823360497),0.013210732396692038(0.006850865095088339),0.994567453366038(0.0073790561162254764),8.865682601928711(6.214640140533447),38.00337219238281(2.193500518798828),0.12062899966883223(0.14043495117237942),0.858760735574292(0.20638244587862303),0.59 M,0.005516314797285126(0.00030545326720405794),4.523378133773804
cae-ps,0.0002683779998092843(0.0015561368939895023),0.010296471291093906(0.01274208317824296),0.9968880016834614(0.019244548217392583),13.479545593261719(1.327277421951294),42.61723327636719(6.710188388824463),0.09248466166815289(0.1495182222996362),0.9937114708670756(0.03458846346440464),0.72 M,0.0002250095693076529(2.782286814910445e-05),0.1845078468322754
kcae-ps,2.674548642816506e-05(0.00016414904812834646),0.0033583968504411507(0.003932767021166386),0.9995356098093127(0.0012396637598935303),21.750446319580078(6.176576614379883),50.88813781738281(3.716794013977051),0.0454244309468422(0.09544787854651138),0.9875399754178233(0.04052596128792762),0.3 M,0.0018750795503941979(6.066822503594155e-05),1.5375652313232422
