Model,MSE,RMSE,SSIM,SNR,PSNR,MAD,Cosine Sim.,Params (M),Inference time,Testing time
cae,0.0007947251205467448(0.005713153200785619),0.016266071963941725(0.023024769846862202),0.9844528100545787(0.04705894328209993),8.357982635498047(6.03057861328125),37.495670318603516(4.026558876037598),0.12297700666254613(0.14981196074473477),0.8769210904745794(0.17101373056990452),1.38 M,0.0002864090407766947(1.563671803822484e-05),0.23485541343688965
cae-ps,0.0024886453770826982(0.011879828460253289),0.026966611314394578(0.041969599281141544),0.9553092028772251(0.07783460397300336),7.440206527709961(3.056854724884033),36.57789611816406(8.836186408996582),0.2808957943738234(0.24999658813830106),0.8777331459813001(0.1117868785571785),0.72 M,0.00024263044682944692(9.66787479476127e-06),0.19895696640014648
