Model,MSE,RMSE,SSIM,SNR,PSNR,MAD,Cosine Sim.,Params (M),Inference time,Testing time
ae,0.004805947878846227(0.012624635265424235),0.055038969040416726(0.042150442070401424),0.6483864373921664(0.2015784905596805),0.9095423221588135(0.6051812767982483),27.144407272338867(6.060388088226318),0.40531279274557785(0.23532749402343173),0.43121805854323436(0.14904918939085554),9.45 M,0.0001682141932045541(2.8239712978060944e-05),0.13793563842773438
kae,0.005536333587224362(0.013447879756073838),0.060042414939735174(0.04394589822180013),0.12047563353274071(0.13920339294466913),0.008707406930625439(0.14928418397903442),26.243572235107422(5.824714183807373),0.4320976557073797(0.23927811391981602),0.08020966378787374(0.0860123357828406),4.76 M,0.0002809105849847561(2.3003011132509136e-05),0.2303466796875
cae,0.0014429792359670146(0.0027085439185107123),0.027436318277827144(0.026272184471706213),0.9546850611125752(0.08755064711039591),11.29685115814209(8.92416763305664),37.531715393066406(11.803027153015137),0.2773724920309444(0.2383159585243822),0.8073531030518253(0.2268545532385289),1.38 M,0.00027479427616770673(2.420262213849282e-05),0.22533130645751953
kcae,0.0013619023363611543(0.0015637263604400247),0.02886198287568532(0.022997571168469594),0.9608601404742492(0.06675275141686289),8.363784790039062(7.547237873077393),34.59864807128906(8.693702697753906),0.27344037772542457(0.19582260490805228),0.7565513363562343(0.2745158924353829),0.59 M,0.0030725889089630873(3.491601525808822e-05),2.5195229053497314
cae-ps,0.0015361630747853137(0.0027522440569631157),0.03043555214152126(0.02469494351131422),0.9345077007090536(0.1066468746853287),8.061591148376465(5.552530288696289),34.29645538330078(9.402509689331055),0.2869246675439815(0.2248342073360391),0.8252224517486444(0.20613589651104267),0.72 M,0.0002251619245947861(3.3126047976949766e-05),0.1846327781677246
kcae-ps,0.001265186320165135(0.0014466686158336932),0.02630825609028362(0.023938713085603944),0.9437626187868445(0.11336814513794113),11.81017780303955(10.12459659576416),38.045040130615234(11.987953186035156),0.2517497446308503(0.2072189245074415),0.78775607052191(0.26190731307551196),0.3 M,0.001856501800257985(3.747130942035833e-05),1.5223314762115479
