Model,MSE,RMSE,SSIM,SNR,PSNR,MAD,Cosine Sim.,Params (M),Inference time,Testing time
ae,0.00488417590855955(0.019728298880307298),0.04656987058498511(0.05210972134178097),0.7511194448022346(0.14327855738424644),1.194877028465271(0.5149974822998047),29.55684471130371(6.793247699737549),0.2952537171167844(0.27430700313409123),0.5073959829785475(0.09670824657546828),9.45 M,0.0001684351665217702(2.9286178889451724e-05),0.13811683654785156
kae,0.005658975898649726(0.020533801180628523),0.052342258423578175(0.05403021238629529),0.0840526103192184(0.10494419038600113),-0.02970115840435028(0.14194296300411224),28.3322696685791(6.648160457611084),0.33377447195532844(0.28712401056917153),0.04455233530209559(0.0694447826986593),4.76 M,0.0002990042291036466(1.9354464696208787e-05),0.24518346786499023
cae,0.004900741662827275(0.019010833598426462),0.050123037200239376(0.048871492517157666),0.9313901876567369(0.10101269944585589),-0.6075113415718079(3.4228405952453613),27.754459381103516(4.737932205200195),0.3713972100579157(0.25085545983973145),0.5450963361597643(0.09837542853209032),1.38 M,0.0002741755508795017(2.2012699003393862e-05),0.2248239517211914
kcae,0.0012516176663156353(0.005712798678262362),0.022252302117100577(0.0275036852699402),0.9926371004118006(0.007949621281281034),7.4418206214904785(5.524441242218018),35.80379104614258(5.958505153656006),0.1331840169411607(0.1340081575797986),0.8756482787430286(0.11291815971794002),0.59 M,0.003043386122075523(3.34861092879063e-05),2.4955766201019287
cae-ps,0.0017064458011128774(0.008414775575675704),0.025387652421074852(0.03258700538222097),0.9766881453975221(0.03229625422340728),6.930388927459717(2.384192705154419),35.2923583984375(7.30783224105835),0.14727318834786007(0.16504190029687063),0.9247350982776502(0.08523058613591467),0.72 M,0.00021764766879198028(1.5729431686323713e-05),0.17847108840942383
kcae-ps,0.0012249839860030034(0.006929677277607033),0.017516505430316236(0.030301089281040403),0.9933332226070993(0.010699808506009219),13.342994689941406(8.355443954467773),41.70496368408203(10.207544326782227),0.08634851314922477(0.13375060882808062),0.9176726457912747(0.10375210509044998),0.3 M,0.0018521337974362257(3.100072253284774e-05),1.518749713897705
